ID,Repository_Name,Repository_URL,Repository_Contacts,Repository_Size,Repository_Language,Repository_Provider_Type,Institution_Name,Institution_Country,Institution_Responsibility_Type,Institution_Type,Institution_URL,Policies,Database_Accesses,Database_Licenses,Data_Accesses,Data_Licenses
r3d100000018,Cell Centered Database,https://library.ucsd.edu/dc/collection/bb5940732k,webmaster@ccdb.ucsd.edu ,,eng,dataProvider,"University of California, San Diego, Center for Research in Biological Systems",USA,funding,non-profit,http://crbs.ucsd.edu/,New user account agreement: terms & conditions(http://ccdb.ucsd.edu/agreement/index.shtm) Privacy Notice(http://ccdb.ucsd.edu/privacy/index.shtm) ,open ,Copyrights (http://ccdb.ucsd.edu/copyright/index.shtm) ,embargoed  open  restricted  ,CC (https://creativecommons.org/licenses/) other (http://ccdb.ucsd.edu/agreement/index.shtm) 
r3d100000022,Comprehensive Epidemiological Data Resource,https://apps.orau.gov/cedr/default.aspx#.W21OlbhBk2e,https://apps.orau.gov/cedr/contact-us.aspx#.W21OvbhBk2c ,"Analytic Data File Sets = 239 data files (61 studies), Working Data File Sets = 156 data files",eng,dataProvider,US Department of Energy,USA,funding,non-profit,https://www.energy.gov/,Federal Information Security Management Act (FISMA) Implementation Project(https://csrc.nist.gov/projects/risk-management) ,open ,,restricted  ,other (https://apps.orau.gov/cedr/data-file-sets.aspx#.W21cq7hBk2d) 
r3d100000023,The Cell Image Library,http://www.cellimagelibrary.org/home,dorloff@ncmir.ucsd.edu ,"over 10,000 unique datasets and 20 TB of data",eng,dataProvider,"University of Utah, Department of Biochemistry",USA,general,non-profit,https://medicine.utah.edu/biochemistry/,Licensing Policy(http://www.cellimagelibrary.org/pages/license) ,open ,,open  ,CC (https://creativecommons.org/licenses/) Copyrights (http://www.cellimagelibrary.org/pages/license) Public Domain (http://www.cellimagelibrary.org/pages/license) other (http://www.cellimagelibrary.org/pages/license) 
r3d100000047,Edinburgh DataShare,https://datashare.ed.ac.uk/,https://www.ed.ac.uk/information-services/research-support/research-data-service/contact r.rice@ed.ac.uk ,,eng,dataProvider,"The University of Edinburgh, Information Services",GBR,general,non-profit,https://www.ed.ac.uk/information-services,Service policies(https://www.ed.ac.uk/information-services/research-support/research-data-service/after/data-repository/service-policies) Terms and conditions of use(https://www.ed.ac.uk/about/website/website-terms-conditions) ,open ,Copyrights (https://www.ed.ac.uk/about/website/website-terms-conditions) ODC (https://opendatacommons.org/norms/odc-by-sa/) ,open  ,CC (https://creativecommons.org/licenses/by/4.0/legalcode) ODC (https://opendatacommons.org/licenses/by/) other (https://www.ed.ac.uk/information-services/research-support/research-data-service/after/data-repository/service-policies/data-metadata-policy) 
r3d100010086,MIRAGE,http://www.mitime.org/mirage/,x.gao@mdx.ac.uk y.qian@mdx.ac.uk ,,eng,dataProvider,Middlesex University,GBR,general,non-profit,https://www.mdx.ac.uk/,Freedom of information(https://www.mdx.ac.uk/about-us/policies/public-policy-statements) ,open ,,open  ,
r3d100010100,MolTable,http://moltable.ncl.res.in/web/guest,,44 datasets,eng,dataProvider,"National Chemical Laboratory, Digital Information Resource Center",IND,funding,non-profit,http://www.ncl-india.org/,,open ,,open  ,other (http://moltable.ncl.res.in/web/guest/direction) 
r3d100010126,GISAID,https://www.gisaid.org/,contact@gisaid.org ,,eng,dataProvider,Max Planck Institut für Informatik,DEU,general,non-profit,https://www.mpi-inf.mpg.de/home/,GISAID EpiFlu™ Database Access Agreement(https://www.gisaid.org/registration/terms-of-use/) ,open ,Copyrights (https://www.gisaid.org/registration/terms-of-use/) ,open  ,other (https://www.gisaid.org/registration/terms-of-use/) 
r3d100010135,Karlsruhe Astrophysical Database of Nucleosynthesis in Stars,https://kadonis.org/,https://kadonis.org/contact.php reifarth@physik.uni-frankfurt.de ,357 isotopes,eng,dataProvider,TRIUMF,CAN,general,non-profit,https://www.triumf.ca/,KADoNiS-p database(https://kadonis.org/pprocess/index.php) ,open ,,open  ,Public Domain (https://kadonis.org/) 
r3d100010175,WestNile.ca.gov,http://westnile.ca.gov/,,,eng,dataProvider,UCDavis Veterinary Medicine,USA,technical,non-profit,http://www.vetmed.ucdavis.edu/index.cfm,"Reproduction Rights
and Restrictions(http://www.fightthebitecolorado.com/sponsors.htm) ",open ,,open  restricted  ,Copyrights (http://www.fightthebitecolorado.com/sponsors.htm) Public Domain (http://www.fightthebitecolorado.com/sponsors.htm) 
r3d100010180,1000 Genomes,https://www.internationalgenome.org/,info@1000genomes.org ,2.504 individuals from 26 populations,eng,dataProvider,Wellcome Trust Sanger Institute,GBR,funding,non-profit,https://www.sanger.ac.uk/,Data reuse policy(https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md) Terms of Use for EMBL-EBI Services(https://www.ebi.ac.uk/about/terms-of-use) Using data from IGSR(https://www.internationalgenome.org/data) ,open ,,open  ,other (https://www.ebi.ac.uk/about/terms-of-use) other (https://www.internationalgenome.org/IGSR_disclaimer) other (https://www.internationalgenome.org/data#DataAccess) 
r3d100010182,"Agency for Healthcare Research and Quality, Data & Surveys",https://www.ahrq.gov/research/data/index.html,https://www.ahrq.gov/contact/index.html ,,eng,dataProvider,US Department of Health & Human Services,USA,funding,non-profit,https://www.hhs.gov/,Accessibility(https://www.ahrq.gov/policy/electronic/accessibility/index.html) electronic policies(https://www.ahrq.gov/policy/electronic/about/policyix.html) ,open ,,open  restricted  ,Copyrights (https://archive.ahrq.gov/policy/electronic/copyright/copyright.html) Public Domain (https://info.ahrq.gov/app/answers/detail/a_id/341/kw/copyright/) 
r3d100010183,UK-AIR,http://uk-air.defra.gov.uk/data/,,,eng,dataProvider,Welsh Government,GBR,funding,non-profit,http://wales.gov.uk/topics/environmentcountryside/epq/airqualitypollution/airquality/?lang=en,Privacy policy(http://uk-air.defra.gov.uk/privacy) UK-AIR cookies policy(http://uk-air.defra.gov.uk/cookies) ,open ,Copyrights (https://www.gov.uk/copyright-licensing-agency-licence) ,open  restricted  ,Copyrights (http://www.nationalarchives.gov.uk/information-management/re-using-public-sector-information/copyright/crown-copyright/) OGL (http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/) 
r3d100010188,Beta Cell Biology Consortium Reagent and Data Resources,http://www.betacell.org/resource/,,495 entries,eng,dataProvider,"Vanderbilt University, Beta Cell Biology Consortium, Coordinating Center",USA,general,non-profit,http://www.betacell.org/,BCBC policies and guidelines(http://www.betacell.org/about/policies/#pg) ,open ,Copyrights (http://www.mgtaylor.com/) ,closed  open  restricted  ,Copyrights (http://www.betacell.org/content/disclaimerterms/#terms) 
r3d100010196,Vectorborne Disease Surveillance System,https://vectorsurv.org/,help@vectorsurv.org ,,eng,dataProvider,"University of California, Center for Vectorborne Diseases",USA,funding,non-profit,https://cvec.vetmed.ucdavis.edu/,Data Policy(https://vectorsurv.org/assets/files/calsurv_data_policy.pdf) ,open ,Copyrights (http://www.calsurv.org/) ,open  restricted  ,Copyrights (http://www.calsurv.org/sites/calsurv.org/files/u3/documents/CalSurv_Data_Policy.pdf) 
r3d100010198,"Centers for Disease Control and Prevention, Data & Statistics",http://www.cdc.gov/DataStatistics/,https://wwwn.cdc.gov/dcs/ContactUs/Form ,,eng,dataProvider,USA.gov,USA,funding,non-profit,http://www.usa.gov,policies and regulations(http://www.cdc.gov/Other/policies.html) ,open ,,open  restricted  restricted  ,other (http://www.cdc.gov/Other/imagereuse.html) other (http://www.cdc.gov/maso/Policy/Authorship.pdf) 
r3d100010200,United States Census Bureau,https://www.census.gov/,https://www.census.gov/about/contact-us.html pio@census.gov ,,eng,dataProvider,"U.S Department of Commerce, Bureau of Census",USA,funding,non-profit,https://www.census.gov/,Data Protection and Privacy(https://www.census.gov/privacy/) FOIA(https://www.census.gov/about/policies/foia.html) Policies and Notices(https://www.census.gov/about/policies.html) ,open ,,open  restricted  ,other (https://www.census.gov/privacy/) other (https://www.census.gov/quality/) 
r3d100010211,ClinicalTrials.gov,https://clinicaltrials.gov/,register@clinicaltrials.gov ,289.227,eng,dataProvider,U.S National Library of Medicine,USA,general,non-profit,https://www.nlm.nih.gov/,Terms and conditions(https://www.clinicaltrials.gov/ct2/about-site/terms-conditions) ,open ,,embargoed  open  ,Copyrights (https://clinicaltrials.gov/ct2/about-site/terms-conditions#Use) Copyrights (https://www.nlm.nih.gov/copyright.html) Public Domain (https://www.nlm.nih.gov/copyright.html) other (https://www.nlm.nih.gov/copyright.html) 
r3d100010218,DNA Data Bank of Japan,https://www.ddbj.nig.ac.jp/index-e.html,https://www.ddbj.nig.ac.jp/contact-e.html ,,eng,dataProvider,"National Institute of Genetics, Supercomputer System",JPN,general,non-profit,https://sc.ddbj.nig.ac.jp/en,Data usage policies(https://www.ddbj.nig.ac.jp/policies-e.html) International Nucleotide Sequence Databases Policies(https://www.ddbj.nig.ac.jp/insdc-e.html) ,open ,CC (https://creativecommons.org/licenses/by/4.0/deed.en) ,open  ,CC (https://creativecommons.org/licenses/by/4.0/deed.en) Copyrights (http://www.ddbj.nig.ac.jp/sitepolicy-e.html) other (http://www.ddbj.nig.ac.jp/sub/insd_policies-e.html) 
r3d100010219,DSMZ,https://www.dsmz.de/,contact@dsmz.de https://www.dsmz.de/contact.html ,more than 75.000 bioresources,deu,dataProvider,Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,DEU,funding,commercial,https://www.dsmz.de/de/start.html,Convention on Biological Diversity(https://www.dsmz.de/bacterial-diversity/convention-on-biological-diversity.html) Privacy Policy / Data Protection(https://www.dsmz.de/privacy-policy.html) Terms & Conditions(https://www.dsmz.de/terms.html) ,open ,Copyrights (https://www.dsmz.de/imprint.html) ,open  ,Copyrights (https://www.dsmz.de/imprint.html) 
r3d100010228,Ensembl,https://www.ensembl.org/index.html,https://www.ensembl.org/info/about/contact/index.html ,,eng,dataProvider,Wellcome Trust,GBR,funding,non-profit,https://wellcome.org/,Disclaimer(https://www.ensembl.org/info/about/legal/disclaimer.html) Legal Notes(https://www.ensembl.org/info/about/legal/index.html) Privacy Policy(https://www.ensembl.org/info/about/legal/privacy.html) ,open ,CC (https://creativecommons.org/licenses/by-sa/3.0/) ,open  ,Apache License 2.0 (https://www.ensembl.org/info/about/legal/code_licence.html) CC (https://creativecommons.org/licenses/by-sa/3.0/) other (https://www.ensembl.org/info/about/legal/image_reuse.html) 
r3d100010233,European Social Survey,https://www.europeansocialsurvey.org/,https://www.europeansocialsurvey.org/about/contact_information.html ,,eng,dataProvider,Norwegian Centre for Research Data,NOR,technical,non-profit,https://www.nsd.no/en/,ESS conditions of use(https://www.europeansocialsurvey.org/data/conditions_of_use.html) ,open ,,open  restricted  ,other (https://www.europeansocialsurvey.org/data/conditions_of_use.html) 
r3d100010234,eyeMoviePedia,http://www.eyemoviepedia.com/,http://www.eyemoviepedia.com/site/contact ,,eng,dataProvider,eyesMoviePedia gGmbH,DEU,funding,non-profit,http://www.eyemoviepedia.com/,Code of Conduct(http://www.eyemoviepedia.com/code-of-conduct) Legal Relationship(http://www.eyemoviepedia.com/terms-of-use#charta) Terms of Use(http://www.eyemoviepedia.com/terms-of-use) ,open ,,open  restricted  ,CC (https://creativecommons.org/licenses/by-nd/3.0/de/) other (http://www.eyemoviepedia.com/terms-of-use#charta) 
r3d100010243,UCSC Genome Browser,https://genome.ucsc.edu/,genome@soe.ucsc.edu https://genome.ucsc.edu/contacts.html ,,eng,dataProvider,"University of California Santa Cruz, Genomics Institute",USA,funding,non-profit,https://ucscgenomics.soe.ucsc.edu/,Browser Genome Release Agreement(https://www.ncbi.nlm.nih.gov/projects/mapview/static/app_help/Browser_Genome_Release_Agreement.html) ,open ,,open  restricted  ,Copyrights (https://genome.ucsc.edu/conditions.html) Copyrights (https://genome.ucsc.edu/license/) other (https://genome.ucsc.edu/license/gblicense.pdf) 
r3d100010248,GermOnline,http://www.germonline.org/index.html,,,eng,dataProvider,Swiss Institute of Bioinformatics,CHE,funding,non-profit,https://www.sib.swiss/,,open ,CC (https://creativecommons.org/licenses/by-sa/3.0/) ,open  ,CC (https://creativecommons.org/licenses/by-sa/3.0/) 
r3d100010252,Global Health Data Exchange,http://ghdx.healthdata.org/,data@healthdata.org ,,eng,dataProvider,"University of Washington, Institute for Health Metrics and Evaluation",USA,funding,non-profit,http://www.healthdata.org/,Privacy Policy(http://www.healthdata.org/privacy-policy) Terms and conditions(http://www.healthdata.org/about/terms-and-conditions) ,open ,,embargoed  open  restricted  ,ODC (https://opendatacommons.org/licenses/by/1-0/) 
r3d100010256,Data Sharing for Demographic Research,http://www.icpsr.umich.edu/icpsrweb/content/DSDR/index.html,dsdr@icpsr.umich.edu ,,eng,dataProvider,"University of Michigan, Population Studies Center",USA,funding,non-profit,http://www.psc.isr.umich.edu/,Guide to social science data preparation and archiving(https://www.icpsr.umich.edu/icpsrweb/content/deposit/guide/index.html) Terms of Use(http://www.icpsr.umich.edu/files/datamanagement/preservation/policies/authrules.pdf) digital preservation policies and planning at ICPRS(http://www.icpsr.umich.edu/icpsrweb/content/datamanagement/preservation/policies) ,open ,,restricted  ,Copyrights (http://www.icpsr.umich.edu/icpsrweb/content/datamanagement/preservation/policies/access-policy-framework.html) other (http://www.icpsr.umich.edu/files/datamanagement/preservation/policies/authrules.pdf) 
r3d100010257,Health and Medical Care Archive,http://www.icpsr.umich.edu/icpsrweb/content/HMCA/index.html,hmca@icpsr.umich.edu ,,eng,dataProvider,"University of Michigan, Inter-University Consortium for Political and Social Research",USA,funding,non-profit,http://www.icpsr.umich.edu/icpsrweb/,Guide to social science data preparation and archiving(https://www.icpsr.umich.edu/icpsrweb/content/deposit/guide/index.html) digital preservation policies and planning at ICPRS(http://www.icpsr.umich.edu/icpsrweb/content/datamanagement/preservation/policies/) ,open ,,open  restricted  ,other (http://www.icpsr.umich.edu/files/datamanagement/preservation/policies/authrules.pdf) other (http://www.icpsr.umich.edu/icpsrweb/content/ICPSR/access/restricted/index.html) 
r3d100010259,National Archive of Computerized Data on Aging,http://www.icpsr.umich.edu/icpsrweb/NACDA/,help@icpsr.umich.edu http://www.icpsr.umich.edu/icpsrweb/content/NACDA/contact.html ,,eng,dataProvider,"University of Michigan, Institute for Social Research",USA,funding,non-profit,http://home.isr.umich.edu/,Terms of Use(http://www.icpsr.umich.edu/files/datamanagement/preservation/policies/authrules.pdf) ,open ,,closed  open  restricted  ,Copyrights (http://www.icpsr.umich.edu/icpsrweb/content/datamanagement/preservation/policies/access-policy-framework.html) other (http://www.icpsr.umich.edu/files/datamanagement/preservation/policies/authrules.pdf) 
r3d100010261,National Addiction & HIV Data Archive Program,http://www.icpsr.umich.edu/icpsrweb/NAHDAP/,nahdap@icpsr.umich.edu ,,eng,dataProvider,"University of Michigan, Institute for Social Research",USA,funding,non-profit,http://www.icpsr.umich.edu/icpsrweb/index.jsp,Terms of Use(http://www.icpsr.umich.edu/files/datamanagement/preservation/policies/authrules.pdf) ,open ,,closed  open  restricted  ,Copyrights (http://www.icpsr.umich.edu/icpsrweb/content/deposit/guide/chapter1.html#IP) other (http://www.icpsr.umich.edu/files/datamanagement/preservation/policies/authrules.pdf) 
r3d100010263,Substance Abuse and Mental Health Data Archive,https://www.datafiles.samhsa.gov/,cbhsqrequest@samhsa.hhs.gov ,,eng,dataProvider,U.S. Department of Health & Human Services,USA,funding,non-profit,https://www.hhs.gov/,Certificate of Confidentiality(https://www.samhsa.gov/grants/gpra-measurement-tools/certificate-confidentiality) Statement of commitment(https://datafiles.samhsa.gov/info/statement-commitment-nid3421) Terms of Use(https://datafiles.samhsa.gov/info/terms-use-nid3422) ,open ,,open  restricted  ,other (https://datafiles.samhsa.gov/info/terms-use-nid3422) 
r3d100010266,Mouse Genome Informatics,http://www.informatics.jax.org/,http://www.informatics.jax.org/mgihome/support/mgi_inbox.shtml mgi-help@jax.org ,,eng,dataProvider,The Jackson Laboratory,USA,general,non-profit,https://www.jax.org/,Terms of Use(https://www.jax.org/terms-of-use) ,open ,Copyrights (http://www.informatics.jax.org/mgihome/other/copyright.shtml) ,open  ,Copyrights (http://www.informatics.jax.org/mgihome/other/copyright.shtml) 
r3d100010274,The whole brain Atlas,http://www.med.harvard.edu/AANLIB/,keith@bwh.harvard.edu ,,eng,dataProvider,Harvard Medical School,USA,funding,non-profit,http://hms.harvard.edu/,The Whole Brain Atlas Help Pages(http://www.med.harvard.edu/AANLIB/help.html) ,open ,,open  ,Copyrights (http://www.med.harvard.edu/AANLIB/cprt.html) 
r3d100010276,Melanoma Molecular Map Project,http://www.mmmp.org/MMMP/import.mmmp?page=aims_org.mmmp,ipd@mmmp.org ,,eng,dataProvider,intergruppo melanomia italiano,ITA,sponsoring,non-profit,http://www.melanomaimi.it/,TTD User Guide(http://www.mmmp.org/mmmpFile/TTDguide_1.pdf) ,open ,other (http://www.mmmp.org/MMMP/import.mmmp?page=aims_org.mmmp) ,closed  open  ,Copyrights (http://www.mmmp.org/MMMP/import.mmmp?page=au_guide.mmmp) 
r3d100010279,Brain Biodiversity Bank,https://www.msu.edu/~brains/,,,eng,dataProvider,University of Wisconsin,USA,general,non-profit,http://www.wisc.edu/,Research collections access policy(http://www.medicalmuseum.mil/index.cfm?p=collections.neuroanatomical.summary.policy) ,open ,,open  restricted  ,Copyrights (https://www.msu.edu/~brains/copyright.html) 
r3d100010282,NCBI,https://www.ncbi.nlm.nih.gov/,https://www.ncbi.nlm.nih.gov/home/about/contact/ ,,eng,dataProvider,U.S. Department of Health & Human Services,USA,funding,non-profit,http://www.hhs.gov/,NIH Public Access Policy Details(http://publicaccess.nih.gov/policy.htm) Privacy policy(http://www.nlm.nih.gov/privacy.html) ,open ,,open  restricted  ,Copyrights (http://www.copyright.gov/fls/fl102.html) Copyrights (http://www.ncbi.nlm.nih.gov/About/disclaimer.html) 
r3d100010284,Peptidome,http://www.ncbi.nlm.nih.gov/peptidome/,,,eng,dataProvider,National Center for Biotechnology Information,USA,general,non-profit,http://www.ncbi.nlm.nih.gov,Privacy Policy(http://www.nlm.nih.gov/privacy.html) ,open ,,open  ,Copyrights (http://www.ncbi.nlm.nih.gov/About/disclaimer.html) 
r3d100010285,NCBI Reference Sequence Database,https://www.ncbi.nlm.nih.gov/refseq/,https://www.ncbi.nlm.nih.gov/projects/RefSeq/update.cgi ,84.756.971 proteins; 18.901.573 transcripts; 69.035 organisms,eng,dataProvider,U.S. National Library of Medicine,USA,general,non-profit,http://www.nlm.nih.gov/,NLM Privacy Policy(http://www.nlm.nih.gov/privacy.html) ,open ,Copyrights (http://www.ncbi.nlm.nih.gov/About/disclaimer.html) ,open  ,Copyrights (http://www.ncbi.nlm.nih.gov/About/disclaimer.html) 
r3d100010346,Database of Genomic Variants,http://dgv.tcag.ca/dgv/app/home,dgv-contact@sickkids.ca http://dgv.tcag.ca/dgv/app/contacts ,,eng,dataProvider,Wellcome Trust,GBR,funding,non-profit,https://wellcome.org/,Notice and Disclaimer(http://www.tcag.ca/projects/databaseDisclaimer.html) ,open ,,open  ,other (https://www.sickkids.ca/en/about/terms-of-use/) 
r3d100010360,Scientific Registry of Transplant Recipients,https://www.srtr.org/,https://www.srtr.org/contact-us/contact-us/ srtr@srtr.org ,,eng,dataProvider,"US Department of health and human services, Organ Procurement and Transplantation Network",USA, ,non-profit,https://optn.transplant.hrsa.gov/,Privacy policy(https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html) ,open ,,open  restricted  ,Public Domain (https://www.srtr.org/requesting-srtr-data/citations-and-permissions/) other (https://www.srtr.org/requesting-srtr-data/data-requests/) 
r3d100010361,United States Transuranium & Uranium Registries,https://ustur.wsu.edu/,https://ustur.wsu.edu/contactus/ ,,eng,dataProvider,"Washington State University, College of Pharmacy",USA,general,non-profit,http://www.pharmacy.wsu.edu/,Copyright Policy(https://ucomm.wsu.edu/wsu-copyright-policy/) Radiochemistry Policies & Procedures Manual(http://www.ustur.wsu.edu/PolicyProcedures/RadChemProcedures.html) University Data Policies(http://public.wsu.edu/~forms/HTML/EPM/EP8_University_Data_Policies.htm) ,open ,,closed  open  ,other (http://public.wsu.edu/~forms/HTML/EPM/EP8_University_Data_Policies.htm#Access) 
r3d100010377,NIDDK Central Repository,https://repository.niddk.nih.gov/home/,NIDDK-CRsupport@niddk.nih.gov. ,176 studies,eng,dataProvider,"National Institutes of Health, National Institute of Diabetes and Digestive and Kidney Diseases",USA,general,non-profit,https://www.niddk.nih.gov/?dkrd=prspt0599,How to make a request(https://repository.niddk.nih.gov/pages/overall_instructions/) Policies for clinical researchers(https://www.niddk.nih.gov/research-funding/human-subjects-research/policies-clinical-researchers) ,restricted ,,embargoed  open  restricted  ,other (https://www.niddk.nih.gov/-/media/Files/Research-Funding/Process/PublicversionNIDDKdatasharingpolicy2013July2013.pdf?la=en&hash=86F4425F3778AAF50FAA147C52E83A43) 
r3d100010393,International Mouse Strain Resource,http://www.findmice.org/,imsr-admin@jax.org ,281.783 strains,eng,dataProvider,The Jackson Laboratory,USA,general,non-profit,http://www.jax.org/,General terms and conditions(https://www.jax.org/about-us/legal-information/terms-and-conditions-of-product-use) ,open ,Copyrights (http://www.findmice.org/copyright) ,open  ,Copyrights (http://www.findmice.org/copyright) 
r3d100010398,ARS,https://ars.rki.de/,https://ars.rki.de/Service/Contact.aspx ,,deu,dataProvider,Robert-Koch-Institut,DEU,general,non-profit,https://www.rki.de/DE/Home/homepage_node.html,Datenschutzerklärung(https://ars.rki.de/Service/Privacy.aspx) ,open ,,open  ,Copyrights (https://ars.rki.de/Service/Imprint.aspx) 
r3d100010416,Online Mendelian Inheritance in Man,https://www.ncbi.nlm.nih.gov/omim,https://omim.org/contact pubmedcentral@ncbi.nlm.nih.gov ,,eng,dataProvider,University of California Santa Cruz Genome Bioinformatics,USA,technical,non-profit,http://genome.ucsc.edu/,Privacy Policy(https://www.nlm.nih.gov/privacy.html) User Agreement(http://omim.org/help/agreement) ,open ,Copyrights (https://omim.org/help/copyright) other (https://omim.org/about) ,open  ,Copyrights (https://omim.org/help/copyright) 
r3d100010426,Forschungsdatenzentren der Statistischen Ämter des Bundes und der Länder,https://www.forschungsdatenzentrum.de/en,forschungsdatenzentrum@destatis.de forschungsdatenzentrum@it.nrw.de https://www.forschungsdatenzentrum.de/en/contact ,,deu,dataProvider,Research data centre of the Federal Statistical Office,DEU,general,non-profit,https://www.destatis.de/DE/Home/_inhalt.html,Data Access(https://www.forschungsdatenzentrum.de/en/access) RatSWD and Research Data Infrastructure Status Quo and Quality Management(https://www.konsortswd.de/wp-content/uploads/RatSWD_Output1.6_QualityMgmt.pdf) ,open ,,closed  open  restricted  ,Copyrights (https://www.forschungsdatenzentrum.de/en/imprint) 
